,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,property_valuation,Rank,Value,age
34,Shanon,Rolfe,Female,63,1941-08-19,Sales Representative,Retail,High Net Worth,N,No,8,10 Cottonwood Point,2530,NSW,7,944,0.46,82.0
35,Giralda,MacPeake,Female,59,1941-04-04,Librarian,Entertainment,High Net Worth,N,Yes,14,6 Killdeer Way,2705,NSW,1,441,0.901,82.0
36,Ottilie,Wanless,Female,51,1940-11-10,Environmental Specialist,Health,Affluent Customer,N,No,8,2 David Pass,2720,NSW,4,430,0.9095,82.0
37,Otes,Elegood,Male,67,1940-11-25,Programmer III,Financial Services,High Net Worth,N,No,21,2632 Del Mar Point,2226,NSW,11,808,0.595,82.0
38,Ludvig,Andren,Male,44,1941-02-22,Media Manager III,Retail,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,5,125,1.26171875,82.0
39,Alfonso,Massel,Male,70,1940-12-05,Unknown,Unknown,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,7,201,1.1421875,82.0
40,Essie,Withur,Female,42,1941-02-26,Director of Sales,Financial Services,High Net Worth,N,No,19,539 Graceland Pass,3444,VIC,7,668,0.7055,82.0
41,Davide,Senten,Male,22,1941-02-23,Accounting Assistant II,Manufacturing,Mass Customer,N,No,11,23737 Bartillon Street,2171,NSW,9,688,0.697,82.0
42,Cissiee,Pollington,Female,43,1941-07-21,Associate Professor,Property,Mass Customer,N,Yes,7,69710 Northfield Center,2256,NSW,9,345,0.988125,82.0
43,Leticia,Danovich,Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,1,237,1.094375,82.0
44,Heall,Andrioli,Male,46,1941-06-17,Environmental Tech,IT,Affluent Customer,N,Yes,7,370 Eastwood Road,4133,QLD,5,896,0.52,82.0
45,Jeno,Strafford,Male,67,1941-07-21,Tax Accountant,Financial Services,High Net Worth,N,No,7,891 Sachtjen Hill,4170,QLD,9,879,0.5375,82.0
46,Kahaleel,Unknown,Male,5,1942-11-01,GIS Technical Architect,Financial Services,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,12,88,1.31484375,81.0
47,Wilfrid,Gertray,Male,1,1942-08-23,Accounting Assistant I,Financial Services,Mass Customer,N,No,16,38407 Sutteridge Circle,2766,NSW,8,568,0.8,81.0
48,Kaine,Smallcombe,Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,10,62,1.36796875,81.0
49,Sindee,Jasik,Female,18,1942-10-21,Social Worker,Health,Mass Customer,N,Yes,15,0689 Melby Park,4030,QLD,9,648,0.725,81.0
50,Estevan,Eastment,Male,54,1942-08-09,Environmental Specialist,Health,Mass Customer,N,Yes,21,61926 Tomscot Hill,2019,NSW,8,396,0.9375,81.0
51,Margette,Gibard,Female,34,1942-07-06,Accountant II,Manufacturing,Affluent Customer,N,Yes,9,37068 Montana Street,2011,NSW,7,658,0.7125,81.0
52,Casandra,Betteridge,Female,29,1942-09-10,Cost Accountant,Financial Services,Affluent Customer,N,Yes,9,68 Bluestem Center,3166,VIC,10,854,0.561,81.0
53,Jenelle,Mc-Kerley,Female,40,1942-01-23,Data Coordiator,Financial Services,Mass Customer,N,Yes,16,9 Springview Terrace,4068,QLD,5,378,0.95625,81.0
54,Vyky,Pegg,Female,64,1943-03-15,Quality Control Specialist,Manufacturing,Mass Customer,N,Yes,11,31854 Anniversary Terrace,2322,NSW,7,988,0.3995,80.0
55,Celia,Bryden,Female,12,1943-04-06,Chemical Engineer,Manufacturing,High Net Worth,N,No,21,2905 Towne Place,2114,NSW,9,450,0.9,80.0
56,Latrena,Walklate,Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,8,237,1.094375,80.0
57,Deborah,Petrovsky,Female,53,1943-07-14,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,7,233,1.1,80.0
58,Bobby,Summersby,Male,90,1943-10-27,Sales Associate,Financial Services,Affluent Customer,N,No,7,1478 Oak Valley Park,3350,VIC,2,575,0.796875,80.0
59,Haskell,Moxted,Male,81,1943-08-27,Civil Engineer,Manufacturing,Mass Customer,N,No,7,2941 Talisman Alley,2145,NSW,9,334,0.99875,80.0
60,Symon,Mawne,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,4,96,1.3,80.0
61,Danny,Bodle,Male,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,9,231,1.105,80.0
62,Alexa,Dillet,Female,65,1944-10-05,Product Engineer,Entertainment,Affluent Customer,N,No,17,84650 Novick Point,2261,NSW,7,382,0.95,79.0
63,Briana,Trill,Female,5,1944-03-18,Health Coach III,Health,High Net Worth,N,No,11,0433 La Follette Road,2137,NSW,11,672,0.70390625,79.0
64,Delinda,Ech,Female,74,1944-10-21,Environmental Specialist,Argiculture,Mass Customer,N,Yes,17,28 Golf View Terrace,3101,VIC,10,349,0.9875,79.0
65,Alanna,Lerway,Female,26,1944-01-05,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,12,195,1.1475,79.0
66,Elianora,Poolton,Female,15,1944-06-14,Programmer II,Property,Mass Customer,N,Yes,21,5 Macpherson Drive,3134,VIC,9,494,0.867,79.0
67,Adolpho,Bellerby,Male,46,1944-10-25,VP Sales,Financial Services,High Net Worth,N,Yes,13,2763 Buhler Circle,4305,QLD,4,486,0.875,79.0
68,Darryl,Hovee,Female,2,1944-04-28,Professor,Financial Services,Mass Customer,N,Yes,19,381 Emmet Terrace,2047,NSW,12,655,0.7171875,79.0
69,Kylila,Basezzi,Female,94,1945-06-11,Assistant Manager,Health,Mass Customer,N,Yes,9,64 Armistice Point,4217,QLD,9,733,0.6625,78.0
70,Vitia,Axtens,Female,62,1945-08-08,Financial Advisor,Financial Services,Mass Customer,N,Yes,15,42681 Carey Alley,2011,NSW,10,334,0.99875,78.0
71,Rourke,Gillbard,Male,11,1945-08-03,Analog Circuit Design manager,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,4,26,1.46875,78.0
72,Brynn,Goodyear,Female,30,1944-11-10,Human Resources Manager,Health,Mass Customer,N,Yes,11,3 Sheridan Lane,3075,VIC,7,356,0.9828125,78.0
73,Glyn,Unknown,Male,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,9,202,1.140625,78.0
74,Milty,Brauninger,Male,13,1945-07-10,Payment Adjustment Coordinator,Retail,High Net Worth,N,No,11,54 6th Trail,2640,NSW,7,504,0.85,78.0
75,Cheston,Hritzko,Male,70,1945-11-08,Software Engineer III,Manufacturing,Mass Customer,N,Yes,19,3 Service Center,2127,NSW,9,420,0.91375,78.0
76,Kellen,Pawelski,Female,83,1945-07-26,Accountant II,Manufacturing,High Net Worth,N,Yes,11,125 Manufacturers Parkway,2193,NSW,8,988,0.3995,78.0
77,Jo,Roberts,Female,41,1945-10-31,Paralegal,Financial Services,High Net Worth,N,Yes,11,20139 Lakewood Plaza,2440,NSW,3,937,0.47,78.0
78,Rikki,Chaffey,Male,69,1945-06-11,Chemical Engineer,Manufacturing,Mass Customer,N,No,20,9 Spohn Way,4127,QLD,1,810,0.5875,78.0
79,Rollo,Louedey,Male,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,9,114,1.275,77.0
80,Neile,Argent,Female,79,1946-10-25,Analyst Programmer,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,10,42,1.421875,77.0
81,Barth,Weare,Male,18,1946-08-22,Clinical Specialist,Health,Mass Customer,N,Yes,8,784 Lotheville Court,2541,NSW,5,708,0.68,77.0
82,Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,3,104,1.2875,77.0
83,Colas,Gabbitas,Male,98,1946-09-09,Staff Scientist,Retail,High Net Worth,N,No,20,3094 Elka Place,2166,NSW,9,939,0.4675,77.0
84,Dillon,Bannister,Male,7,1945-12-24,Tax Accountant,IT,Mass Customer,N,No,11,43 Dayton Drive,2062,NSW,9,626,0.74375,77.0
85,Marcelia,Copins,Female,81,1946-03-15,Unknown,Unknown,Mass Customer,N,Yes,21,330 Melby Terrace,2259,NSW,8,409,0.925,77.0
86,Quillan,Guinane,Male,36,1946-03-24,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,8,181,1.158125,77.0
87,Roberta,Goodale,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,7,215,1.12890625,76.0
88,Suzy,Trounson,Female,13,1947-07-19,Senior Financial Analyst,Financial Services,Mass Customer,N,Yes,20,0627 Golf Center,4152,QLD,9,420,0.91375,76.0
89,Cecily,Faircley,Female,42,1947-06-12,Accountant IV,IT,Affluent Customer,N,Yes,19,8 Bluejay Road,4301,QLD,1,739,0.66,76.0
90,Davidde,Cockroft,Male,70,1947-04-21,Geological Engineer,Manufacturing,High Net Worth,N,No,8,8 Kim Avenue,2158,NSW,12,555,0.8125,76.0
91,Sherwin,Minocchi,Male,71,1947-07-13,Project Manager,Manufacturing,Mass Customer,N,Yes,11,1 Alpine Crossing,2536,NSW,8,804,0.595,76.0
92,Marcellina,Baynton,Female,60,1947-03-11,Software Engineer III,Financial Services,Mass Customer,N,No,16,56 Comanche Terrace,3141,VIC,10,455,0.8925,76.0
93,Karoly,Burgoine,Male,57,1947-04-06,Account Representative IV,Health,High Net Worth,N,Yes,21,18 Morning Circle,3012,VIC,2,865,0.55,76.0
94,Tiphanie,Blackader,Female,59,1947-10-08,Physical Therapy Assistant,Retail,Mass Customer,N,No,17,71 Stone Corner Avenue,2007,NSW,11,297,1.030625,76.0
95,Taber,Szymon,Male,70,1947-04-22,Senior Sales Associate,Argiculture,Affluent Customer,N,No,13,984 Del Sol Junction,4659,QLD,8,287,1.04,76.0
96,Queenie,Learie,Female,90,1948-01-24,Analog Circuit Design manager,Property,Mass Customer,N,No,12,7 Sauthoff Park,2073,NSW,11,420,0.91375,75.0
97,Ricki,Padefield,Male,43,1948-08-03,Automation Specialist III,Manufacturing,Affluent Customer,N,Yes,13,860 Barby Lane,4275,QLD,9,877,0.54,75.0
98,Zondra,Ringham,Female,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,5,259,1.0625,75.0
99,Gilli,Christophers,Female,70,1948-03-02,Database Administrator IV,Property,Affluent Customer,N,Yes,17,53870 Jay Pass,4575,QLD,9,744,0.65625,75.0
100,Lucky,Klainman,Female,24,1947-11-26,Chief Design Engineer,Retail,Mass Customer,N,No,8,0796 Barnett Plaza,3758,VIC,4,455,0.8925,75.0
101,Juliann,Siemantel,Female,86,1947-12-15,Librarian,Entertainment,Mass Customer,N,No,22,28 Parkside Park,3046,VIC,8,760,0.6375,75.0
102,Ross,Vidgen,Male,17,1947-12-28,VP Sales,Retail,Affluent Customer,N,No,12,2874 Bay Hill,4032,QLD,9,682,0.7,75.0
103,Logan,Colomb,Male,74,1948-01-01,Recruiter,Manufacturing,Mass Customer,N,Yes,19,266 Lakewood Terrace,2761,NSW,8,840,0.57109375,75.0
104,Corrine,Baribal,Female,19,1948-10-12,Senior Sales Associate,Financial Services,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,8,206,1.1375,75.0
105,Fara,Sarath,Female,75,1948-06-30,Quality Control Specialist,Manufacturing,Mass Customer,N,No,22,540 Forest Run Plaza,2168,NSW,7,386,0.945625,75.0
106,Ansell,Tolhurst,Male,77,1949-08-11,Chemical Engineer,Manufacturing,Affluent Customer,N,No,22,13 Montana Place,2232,NSW,10,797,0.6,74.0
107,Grannie,Cracker,Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,8,142,1.23515625,74.0
108,Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,Financial Services,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,10,85,1.325,74.0
109,Linette,Boman,Female,56,1949-05-20,Account Executive,Health,Affluent Customer,N,No,11,7 Michigan Hill,2076,NSW,11,304,1.025,74.0
110,Charlie,Dmych,Male,60,1950-03-31,Account Coordinator,Manufacturing,High Net Worth,N,No,13,920 Cambridge Way,2263,NSW,6,555,0.8125,73.0
111,Packston,Wackett,Male,10,1950-04-26,Quality Engineer,Financial Services,Mass Customer,N,No,19,7 Northridge Court,3192,VIC,9,386,0.945625,73.0
112,Bailey,Bereford,Male,44,1950-09-30,Senior Sales Associate,Argiculture,Affluent Customer,N,Yes,11,36 Golf Course Circle,2444,NSW,6,524,0.83671875,73.0
113,Nadiya,Balasini,Female,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,9,146,1.225,73.0
114,Nev,Prosh,Male,29,1950-05-08,Environmental Tech,Health,Affluent Customer,N,Yes,17,6115 Forest Crossing,2148,NSW,8,612,0.75703125,73.0
115,Krystyna,Airey,Female,2,1950-09-05,Safety Technician II,Manufacturing,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,5,244,1.08375,73.0
116,Burt,Vasechkin,Male,33,1950-04-15,Senior Sales Associate,Retail,Mass Customer,N,Yes,20,89100 Rusk Crossing,3338,VIC,2,751,0.648125,73.0
117,Kata,Harrop,Female,70,1950-05-04,Analyst Programmer,Retail,Affluent Customer,N,Yes,13,2 Ridgeway Avenue,2196,NSW,10,637,0.7375,73.0
118,Poul,Gaskin,Male,78,1950-06-15,Help Desk Operator,Telecommunications,High Net Worth,N,No,17,9 Killdeer Circle,2643,NSW,2,920,0.493,73.0
119,Ossie,Midden,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,9,89,1.3125,73.0
120,Reinhard,Oscroft,Male,23,1950-03-18,Pharmacist,Health,High Net Worth,N,No,18,045 Magdeline Court,3690,VIC,1,634,0.7395,73.0
121,Cathleen,Le Teve,Female,75,1950-11-06,Recruiting Manager,Retail,High Net Worth,N,No,18,32834 Caliangt Way,4211,QLD,3,691,0.690625,73.0
122,Thaxter,Kingsbury,Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,12,50,1.40625,73.0
123,Dorotea,Fenwick,Female,74,1950-10-12,Nurse,Financial Services,High Net Worth,N,No,12,72 Lukken Crossing,2016,NSW,11,715,0.67734375,73.0
124,Yorgos,Dewhurst,Male,6,1950-09-09,Software Consultant,Argiculture,Affluent Customer,N,No,16,4 Talmadge Road,4701,QLD,1,760,0.6375,73.0
125,Fonsie,Levane,Male,96,1951-07-10,Account Representative III,Argiculture,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,3,163,1.18203125,72.0
126,Donn,Chaney,Male,15,1951-01-29,Research Assistant II,Telecommunications,Mass Customer,N,No,13,4 Schlimgen Trail,4701,QLD,3,561,0.81015625,72.0
127,Ogdan,Blenkinship,Male,65,1951-01-18,Occupational Therapist,Health,Mass Customer,N,Yes,21,21712 Texas Court,3429,VIC,5,930,0.478125,72.0
128,Angie,Tansley,Male,68,1950-11-30,VP Sales,Manufacturing,Mass Customer,N,No,8,8 Cardinal Junction,2444,NSW,7,544,0.8245,72.0
129,Esdras,Birchett,Male,81,1950-12-09,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,21,5287 Clarendon Plaza,2258,NSW,9,568,0.8,72.0
130,Roberto,Harme,Male,27,1951-06-11,Environmental Tech,Manufacturing,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,9,158,1.1875,72.0
131,Cissiee,Baylis,Female,99,1951-07-22,Cost Accountant,Financial Services,High Net Worth,N,No,16,18 Dottie Park,2230,NSW,11,700,0.6875,72.0
132,Bryon,Goundry,Male,79,1951-02-05,Marketing Manager,Manufacturing,Mass Customer,N,No,21,005 Kensington Street,4165,QLD,5,804,0.595,72.0
133,Carola,Philler,Female,73,1951-04-30,Dental Hygienist,Health,High Net Worth,N,No,15,1037 Roth Park,2145,NSW,7,478,0.88,72.0
134,Carroll,Schlagman,Female,61,1951-08-25,Clinical Specialist,Health,Affluent Customer,N,No,13,15 Fisk Road,2099,NSW,9,795,0.6035,72.0
135,Gregorius,Leal,Male,7,1951-04-29,Analyst Programmer,Retail,Affluent Customer,N,Yes,21,66 Merry Court,2033,NSW,12,455,0.8925,72.0
136,Druci,Brandli,Female,39,1951-04-29,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,7,6,1.671875,72.0
137,Iain,Haversham,Male,92,1950-12-26,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,10,177,1.1625,72.0
138,Lucius,Hatchell,Male,37,1951-03-19,Media Manager II,Retail,Mass Customer,N,Yes,14,432 Ronald Regan Court,3782,VIC,8,612,0.75703125,72.0
139,Monty,Thomazin,Male,7,1951-09-16,Quality Engineer,Financial Services,Mass Customer,N,Yes,13,30738 Muir Avenue,3105,VIC,10,838,0.57375,72.0
140,Evered,Gludor,Male,3,1951-04-30,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,15,305 Sloan Junction,2168,NSW,8,967,0.435625,72.0
141,Elmira,Vasilyev,Female,33,1951-10-14,Senior Quality Engineer,Manufacturing,High Net Worth,N,No,12,12 Eastlawn Terrace,2007,NSW,9,520,0.8375,72.0
142,Augusta,Munns,Female,5,1951-09-17,Quality Control Specialist,Manufacturing,Mass Customer,N,No,21,607 Memorial Avenue,2074,NSW,11,983,0.41,72.0
143,Leona,Shorrock,Female,83,1951-08-23,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,22,1560 Grim Avenue,4720,QLD,1,979,0.4165,72.0
144,Noel,Sturch,Female,26,1951-10-28,Environmental Specialist,Health,Mass Customer,N,No,10,0736 West Crossing,3585,VIC,1,583,0.7875,72.0
145,Regine,Bownes,Female,99,1952-07-01,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,9,166,1.175,71.0
146,Brien,Heaton,Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,2,32,1.453125,71.0
147,Rosemonde,Cartwight,Female,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,1,202,1.140625,71.0
148,Liane,Poizer,Female,59,1952-05-05,Analyst Programmer,Property,High Net Worth,N,No,13,390 Express Plaza,2076,NSW,11,495,0.86328125,71.0
149,Omero,McDonand,Male,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,9,177,1.1625,71.0
150,Luci,Dyter,Female,12,1952-05-30,Software Test Engineer I,Manufacturing,High Net Worth,N,No,20,2 Namekagon Trail,3981,VIC,7,804,0.595,71.0
151,Hedwig,Jayme,Female,38,1952-08-21,Accountant IV,Property,Affluent Customer,N,No,11,6293 Hooker Point,2099,NSW,10,899,0.51,71.0
152,Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,2,26,1.46875,71.0
153,Craggie,Dering,Male,47,1952-10-05,Actuary,Financial Services,Mass Customer,N,No,7,11 Paget Road,2125,NSW,10,436,0.903125,71.0
154,Lucilia,Minshall,Female,71,1952-04-15,Accountant III,IT,Mass Customer,N,Yes,7,0237 Mallard Place,2750,NSW,8,345,0.988125,71.0
155,Tannie,Petrakov,Male,84,1951-11-27,Data Coordiator,IT,Affluent Customer,N,No,10,691 Valley Edge Alley,4078,QLD,6,341,0.99,71.0
156,Haleigh,Unknown,Female,17,1952-05-19,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,4,326,1.009375,71.0
157,Kariotta,Naper,Female,8,1952-04-07,VP Sales,Health,Mass Customer,N,No,21,87 Crescent Oaks Alley,2756,NSW,10,676,0.70125,71.0
158,Raff,Waycott,Male,70,1951-12-16,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,7,259,1.0625,71.0
159,Levy,Abramamov,Male,94,1952-09-21,Teacher,Property,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,8,89,1.3125,71.0
160,Annabelle,Hanwell,Female,11,1951-11-28,Professor,Manufacturing,High Net Worth,N,Yes,15,99 Sherman Parkway,3083,VIC,12,655,0.7171875,71.0
161,Vinny,Incogna,Female,73,1953-02-13,Account Representative IV,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,8,40,1.434375,70.0
162,Dickie,Cubbini,Male,30,1952-12-17,Financial Advisor,Financial Services,Mass Customer,N,Yes,19,57666 Victoria Way,4215,QLD,2,997,0.357,70.0
163,Dennis,Varnham,Male,57,1953-05-17,Assistant Media Planner,Entertainment,Affluent Customer,N,No,17,6455 Mayfield Street,3350,VIC,3,415,0.921875,70.0
164,Maddalena,Hencke,Female,61,1952-12-09,Help Desk Operator,Manufacturing,High Net Worth,N,No,22,64037 Swallow Crossing,4170,QLD,5,810,0.5875,70.0
165,Viki,Coutts,Female,2,1952-12-14,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,4,120,1.2625,70.0
166,Timi,Duny,Female,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,12,274,1.051875,70.0
167,Hayes,Daveren,Male,32,1953-03-27,VP Quality Control,Manufacturing,Affluent Customer,N,Yes,11,1 Becker Parkway,4350,QLD,2,856,0.56,70.0
168,Dylan,Stranio,Male,47,1953-04-02,Project Manager,Manufacturing,High Net Worth,N,Yes,9,3662 Beilfuss Lane,2170,NSW,8,773,0.63,70.0
